id,Files & media,Album contains,Status,To do,Khadde,Zone,Google Earth link,Location pin,Google Earth placemark,Presentable,7-12 Area (Acres),Length (Kms),"dashboard done, email sent?",Link,Sub-item,Parent item,Album (1),Tag,Grove type,Site data check,Date,Trees,Area Measured (Acres),Planned Allocation,Album Pic,Volunteer Name,Name,Survival,album owner,Taluka,Account,District,Season,Remark,PMRDA,Service offered,नाव (मराठी),Land Type,Land Owner,Village,Unique Site Id,Data errors,Issue Resolution
575e853b-7892-42ba-bbf5-ab2664ce03b0,,,,Not started,,,,,false,,,,false,https://photos.app.goo.gl/ZQGoBcFFmZRhfBQG9,,,,Visitors,,false,2024-08-20,,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/4dfb4025-1de0-4b2d-9cf8-12f3114aa0a5/IMG_7718.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=3515259df5713f1ad429154c103b1fe289ac1e6a25087ed382a35373d535191a&X-Amz-SignedHeaders=host&x-id=GetObject,,20-08-2024 Visit ,,,,,,,,,,,,,,,,
6871ae8f-76e0-43ed-8b8a-33ffb24a6ce9,,,,In progress,,zone 3,,,false,,,,false,https://photos.app.goo.gl/HiMCvVengciDw9MH7,,,,Visitors,Family,false,2024-08-18,4,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/39a84435-5413-4403-8df9-6d2ee58e9b9d/P1-18Aug-2024.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=d30c7183e699497c0df674d0f750c30ec3035807908fe582e4d1663a6b0b0efa&X-Amz-SignedHeaders=host&x-id=GetObject,,18-08-2024 Visit ,,onsite@14trees,,,,,,,,,,,,,,
4e67e231-5459-41ff-a753-53b7b28ee2fa,,,,In progress,,,,,false,,,,false,https://photos.app.goo.gl/TKsP8RWWmgxDCPCX7,,,,Visitors,,false,2024-08-17,5,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/e7f98128-f5e5-48fe-80b0-585d59528c7b/IMG_2893.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=6897a63aa72d3738ae958186e82d62d47f9eb0881c82481bb51af799cfa9ff7b&X-Amz-SignedHeaders=host&x-id=GetObject,,17-08-2024 Akash Family Visit ,,onsite@14trees,,,,,,,,,,,,,,
94b06737-7354-4d87-b4c3-e07e10960614,,Internship,,Not started,,,,,false,,,,false,https://photos.google.com/share/AF1QipPng7OX4F2ObjFKKtOmcdbr2TVtXchz9zq-0yx1p0-6GpWeNEyv4CxEHkn1tFHJzw?obfsgid=113326690407663333503&email=pravin@14trees.org&key=UGQ0WHNHU2M0ZHhJTERBODZsTEdlZ2hMN1p1c253,,,,Album-14T,,false,,,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/ab4591ca-71d5-4e32-98f4-28952f282965/IMG_20240609_151023.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=f3b5c353f980d99b0a73b4dfb710957c7228ea57f0807906de4075d31b44d8c0&X-Amz-SignedHeaders=host&x-id=GetObject,,2024 Summer,,,,,,,,,,,,,,,,
cfa5b5ef-f626-4ea2-9e96-1fc1d3068694,,,,Not started,,,,,false,,,,true,https://photos.app.goo.gl/t1HK9yiZSAHvn8a58,,,,Visitors,,false,2024-08-12,3,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/fe6ab41a-4f91-4ca4-a658-2b4a657e8733/IMG_9346.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=a512c573b6ac9545654d2e8456029af39db1c87c00f198f9628c389237a9a0bd&X-Amz-SignedHeaders=host&x-id=GetObject,,12-08-2024 Visit ,,onsite@14trees,,,,,,,,,,,,,,
8336529b-007c-4406-8233-b89bb681dcca,,,,In progress,,,,,false,,,,true,https://photos.app.goo.gl/mwY2MoTzK7t3hmkN9,,,,Visitors,,false,2024-08-10,4,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/98233880-9cc0-4b35-a428-0eefe6d89904/eee0fce3-5d62-4b85-88f1-d39246ff320b.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=762d0b9bba2876ea2adc574ff44f5c4a7f1fd8d6d4b06baa35f2fb04aa3df638&X-Amz-SignedHeaders=host&x-id=GetObject,[object Object],10-08-2024 Medline CSR Team Visit,,onsite@14trees,,,,,,,,,,,,,,
28c4abac-0a9d-4ed8-88e1-d9154521641d,,,,In progress,,,,,false,,,,true,https://photos.app.goo.gl/cBTZXa1i3A1eYVbF7,,,,Visitors,Corporate,false,2024-08-10,,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/03c4a4bf-e87c-46dd-b84c-8e6e46e601f7/IMG-20240810-WA0006.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=8e5f2357d81bb0407b9e38b09416ae5aaeca9b13d8ba701daf0a5a987371353b&X-Amz-SignedHeaders=host&x-id=GetObject,"[object Object],[object Object]",10-08-2024 - HSBC Visit Pur Gairan ,,onsite@14trees,,,,,,,,,,,,,,
02075f87-9ebe-4537-a8cc-894d15368e73,,,,In progress,,,,,false,,,,true,https://photos.app.goo.gl/ERNQ4ZBsX1yBXvvNA,,,,Visitors,,false,2024-08-10,,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/6ea55ce3-3783-4806-b338-d258f4560264/83df9ee7-ea84-4d49-b85a-0c3609310741.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=abed3381c1441dca6f80a81367ddf2a6b271a33c7747eb575a4fe81615945898&X-Amz-SignedHeaders=host&x-id=GetObject,[object Object],10-08-2024  KPIT Visit Pargaon ,,onsite@14trees,,,,,,,,,,,,,,
a8089e21-f8ac-4745-8681-c8baeeab10f5,,,,Not started,,,,"https://www.google.com/maps/place/18%C2%B059'29.9%22N+73%C2%B045'21.8%22E/@18.9916459,73.7534687,17z/data=!3m1!4b1!4m4!3m3!8m2!3d18.9916459!4d73.7560436?hl=en&entry=ttu",false,,,,false,https://photos.app.goo.gl/cVuBE838UPZ58pvE8,,,,site-NGO,,false,,,,,https://prod-files-secure.s3.us-west-2.amazonaws.com/33872f50-9c20-474b-9380-ab4f68302942/8b349477-3bb3-4e64-86ca-0db69325eba7/IMG_8002.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIAT73L2G45HZZMZUHI%2F20240822%2Fus-west-2%2Fs3%2Faws4_request&X-Amz-Date=20240822T045429Z&X-Amz-Expires=3600&X-Amz-Signature=c44e4467b684d6ae061f8fe99e5ed535816a9ce32bf7e43d0aa35d80f52113bd&X-Amz-SignedHeaders=host&x-id=GetObject,,सह्याद्री स्कूल ,,,Khed (खेड),,,,,,,,,,,,,
bf72ceda-cea6-4998-81fa-360ac144e726,,,वाटप,Not started,,,,,false,,,,false,https://photos.app.goo.gl/mh3BKG7pyLPJDi6J8,,,,ता - संग्रामपूर -  शाळा वाटप.,,false,,,,,,,जि प म प्राथ शाळा काकोळा ता संग्रामपूर जि बुलढाणा वाटप.,,,,,,,,,,,,,,,,
